,yelpID,Phone,alias,name,category,rating,review_count,address,city,state,zipcode
55,lQakU191VNwYpA8a3HQN4g,(206) 661-4458,celesto-espresso-mobile-truck-seattle,Celesto Espresso Mobile Truck,"Food Trucks, Coffee & Tea",5.0,6,King Street Station,Seattle,WA,98109
56,OEr7jDyQ-LCxxeTCwW6zxQ,(253) 220-8098,js-gourmet-burger-kent-4,J's Gourmet Burger,Burgers,4.5,19,8463 S 212th St,Kent,WA,98031
57,A_nYks_NwvwZW0ozNjx65g,(206) 323-4518,montlake-blvd-market-seattle,Montlake Blvd Market,Grocery,4.0,45,2605 22nd Ave E,Seattle,WA,98112
58,vRm-VMSu1Dfn7WU9z013TQ,(425) 281-5922,k-and-f-catering-bellevue,K&F Catering,Caterers,5.0,10,13226 SE 30th St,Bellevue,WA,98005
59,yqQ6Umb2Rc9mJcsgxswt-A,(206) 632-7708,cedars-of-lebanon-seattle-2,Cedars of Lebanon,"Mediterranean, Lebanese",4.0,161,1319 NE 43rd St,Seattle,WA,98105
60,7-2cuZFNgiQwOImdJvnq1w,(541) 203-0020,tero-estates-tasting-room-walla-walla,TERO Estates Tasting Room,Wine Tasting Room,4.5,10,6 W Rose St,Walla Walla,WA,99362
61,nv8-Pa3IB1k-R0ML4MCneQ,(253) 813-9000,chuck-e-cheeses-kent,Chuck E Cheese's,Pizza,3.0,55,25817 104th Ave SE,Kent,WA,98031
62,haPOojaSFzS0hHUefLLcZg,(206) 257-0419,poke-wai-tukwila-3,Poke Wai,"Poke, Hawaiian",3.5,70,458 Southcenter Mall,Tukwila,WA,98188
63,j4oZNHpaDNNmVA7Hw0fldA,(206) 524-7300,university-presbyterian-church-seattle,University Presbyterian Church,Churches,4.0,9,4540 15th Ave NE,Seattle,WA,98105
64,B0jex_-_cZB6WDqeyJ5fqQ,(206) 941-8388,hey-now-brows-seattle,Hey Now Brows,Permanent Makeup,5.0,1,901 Occidental Ave S,Seattle,WA,98134
65,8CpIJF15UN5VsZ4XAllOMw,(206) 244-8610,seatac-south-76-seatac,Seatac South 76,Gas Stations,1.5,2,2841 S 188th St,Seatac,WA,98188
66,7F4AJDf3gClLAaCjV69W7A,(425) 486-5034,staples-bothell,Staples,"Office Equipment, Printing Services",3.0,13,18332 120th Ave NE,Bothell,WA,98011
67,BS1J9RjL5wq15aOXEjRq9w,(425) 255-0300,courtyard-by-marriott-seattle-sea-tac-area-tukwila-2,Courtyard by Marriott Seattle Sea-Tac Area,"Hotels, Venues & Event Spaces",3.0,72,16038 W Valley Hwy,Tukwila,WA,98188
68,L0QRUec3DGqx_2liIbZflw,(206) 878-3855,tuscany-at-des-moines-creek-des-moines-2,Tuscany at Des Moines Creek,American (Traditional),3.0,55,21830 Marine View Dr S,Des Moines,WA,98198
69,Kz6nw-nZgMn0y4LILxfVSA,(206) 728-1366,wallys-grocery-seattle,Wally's Grocery,Grocery,4.0,2,2129 2nd Ave,Seattle,WA,98121
70,lG0faCA_37DXlmEwydb_bw,(206) 241-3103,countryside-cafe-burien,Countryside Cafe,"American (Traditional), Breakfast & Brunch, Sandwiches",4.0,472,14901 Ambaum Blvd SW,Burien,WA,98166
71,MsMVOVQlIclr6Rzinsh3rw,(206) 723-5596,seasoned-in-seattle-catering-seattle,Seasoned In Seattle Catering,Caterers,4.5,35,5619 Martin Luther King Jr Way S,Seattle,WA,98118
72,z5EMM3foIBkvVZCgWJMRRQ,(206) 441-6666,bell-harbor-international-conference-center-seattle,Bell Harbor International Conference Center,Venues & Event Spaces,4.5,40,2211 Alaskan Way,Seattle,WA,98121
73,MlUfNp2ugh2oRUlxUppcQQ,(206) 246-4266,ruby-thai-kitchen-tukwila,Ruby Thai Kitchen,"Pan Asian, Thai",1.5,16,2600 Southcenter Mall,Tukwila,WA,98188
74,62rtmniahPb8ktNUqE3f0w,(253) 850-7788,pho-mau-kent,Pho Mau,"Vietnamese, Bubble Tea",4.0,108,138 Washington Ave N,Kent,WA,98032
75,syeyhlcv6NdahX6DdJ2_oA,(206) 669-7697,innisfree-ballard-seattle,Innisfree Ballard,Apartments,1.0,1,14419 Greenwood Ave N,Seattle,WA,98133
76,6OgOA8_lvgTgyAiVknTQuA,(206) 522-6966,chaco-canyon-organic-cafe-seattle,Chaco Canyon Organic Cafe,"Juice Bars & Smoothies, Vegan, Live/Raw Food",4.0,598,4757 12th Ave NE,Seattle,WA,98105
77,YeoqYexaFSFUWtSz7YVubg,(206) 546-4851,sky-nursery-shoreline,Sky Nursery,Nurseries & Gardening,4.0,117,18528 Aurora Ave N,Shoreline,WA,98133
78,ga4bV6Sy0m77cfJLfiuQug,(206) 466-4989,cloud-nine-creamery-tukwila-4,Cloud Nine Creamery,"Ice Cream & Frozen Yogurt, Desserts",3.5,52,191 Southcenter Mall,Tukwila,WA,98188
79,9HEpR8RQaq48CsVE1b7qKg,(808) 554-0778,crêpe-harajuku-honolulu-2,Crêpe Harajuku,"Desserts, Coffee & Tea, Creperies",4.5,24,Shirokiya,Honolulu,HI,96814
80,YzwiErmRMLpolqUhFg9gyg,(206) 910-2300,bedlam-coffee-seattle,Bedlam Coffee,Coffee & Tea,4.0,409,2231 2nd Ave,Seattle,WA,98121
81,qBhb8Yl-sPBeqSchwJ7nIw,(425) 888-4181,rainbow-lodge-retreat-center-north-bend,Rainbow Lodge Retreat Center,Venues & Event Spaces,4.0,6,46820 SE Mt Si Rd,North Bend,WA,98045
82,D1Zz5Ea3kgsHUMDH0M-jNA,(800) 888-4848,subway-henderson-20,Subway,"Sandwiches, Fast Food",4.5,13,665 S Green Valley Pkwy,Henderson,NV,89052
83,bQaAtyu6D1ZEVEuVfdRdAQ,(206) 602-6380,shawn-o-donnells-american-grill-and-irish-pub-seattle-2,Shawn O'Donnell's American Grill & Irish Pub,"Fish & Chips, American (Traditional), Irish Pub",4.0,256,508 2nd Ave,Seattle,WA,98104
84,mnjUDd8_cSIG90QSgueoUw,(206) 281-9393,homewood-suites-by-hilton-seattle-downtown-seattle-2,Homewood Suites by Hilton Seattle Downtown,"Hotels, Venues & Event Spaces",4.0,104,206 Western Ave W,Seattle,WA,98119
85,qng_-Y-Za5eZD4D7o00Yog,(206) 547-6945,wallingford-united-methodist-church-seattle,Wallingford United Methodist Church,Churches,4.0,4,2115 N 42nd St,Seattle,WA,98103
86,tsx9nYQlKffGA5yH2NnT3A,(206) 324-3224,teriyaki-bowl-seattle-2,Teriyaki Bowl,Japanese,4.0,29,3121 E Madison St,Seattle,WA,98112
87,LnfGHJhL77JFux7ReXaFhA,(206) 356-2911,mama-sambusa-african-kitchen-burien,Mama Sambusa African Kitchen,African,4.5,5,15217 6th Ave SW,Burien,WA,98166
88,BXo9MKnULup8W9VLeBrL1Q,(425) 271-4219,royal-orchid-renton-3,Royal Orchid,Thai,4.0,184,104 Rainier Ave S,Renton,WA,98057
89,vh0UjgDhqJgK1yRacgpRzQ,(206) 363-5051,todo-mexico-shoreline,Todo Mexico,Mexican,3.5,120,19953 Ballinger Way NE,Shoreline,WA,98155
90,PiYSoSs1nTR4F1EsKatHhg,(425) 867-1082,tropea-ristorante-italiano-redmond,Tropea Ristorante Italiano,"Italian, Pizza",4.0,333,8042 161st Ave NE,Redmond,WA,98052
91,0mnmWN2gEMRPXo_oU40orQ,(206) 588-6981,fremont-foundry-events-seattle,Fremont Foundry Events,Venues & Event Spaces,4.5,23,154 N 35th St,Seattle,WA,98103
92,Wk9f5Zpnu4T6Vzf6CF5iuA,(206) 545-7440,paseo-caribbean-food-fremont-seattle-2,Paseo Caribbean Food - Fremont,"Caribbean, Cuban, Sandwiches",4.5,4705,4225 Fremont Ave N,Seattle,WA,98103
93,yPSQVgENfD2ikVifbIy4aA,(509) 529-8000,skylite-cellars-woodinville,Skylite Cellars,Wineries,4.0,11,19255 Woodinville Snohomish Rd,Woodinville,WA,98077
94,v-q0960HYIl2V5blIO-DFg,(253) 389-7978,love-you-a-latte-kent,Love You a Latte,Coffee & Tea,4.5,3,23612 Military Rd S,Kent,WA,98032
95,HunFa1AOrfcTomGMoKDfuQ,(425) 214-5800,swagath-indian-grocery-and-restaurant-bellevue,Swagath Indian Grocery and Restaurant,"Indian, International Grocery",3.0,63,14504 NE 20th St,Bellevue,WA,98007
96,z32zOP3INqlb_0Llg0IJ5Q,(425) 398-1990,barnes-and-noble-woodinville,Barnes & Noble,"Bookstores, Newspapers & Magazines, Music & DVDs",3.0,27,18025 Garden Way NE,Woodinville,WA,98072
97,nRebJKq8Mr1FbuakspXReg,(206) 965-0323,stella-fiore-wood-fired-pizza-seattle-3,Stella Fiore Wood Fired Pizza,"Pizza, Food Trucks",4.5,43,,Seattle,WA,98104
98,Hb4tzJSl4n_XB19_wVPAjg,(425) 271-2341,el-kiosko-renton,El Kiosko,Mexican,4.5,222,526 S 2nd St,Renton,WA,98057
99,N5WGDIgSW42z4lwlm3kDIQ,(253) 838-8808,red-lion-inn-and-suites-federal-way-federal-way-3,Red Lion Inn & Suites Federal Way,Hotels,2.0,49,1688 South 348th St,Federal Way,WA,98003
100,rWSta8VQi3IYhj2jMJWeZQ,(206) 854-7186,wunderkind-seattle,Wunderkind,Kids Activities,3.5,23,3318 NE 55th St,Seattle,WA,98105
101,CvLFyOEAtAOmDAMxOjM1Eg,(425) 454-8888,chaces-pancake-corral-bellevue,Chace's Pancake Corral,"American (Traditional), Breakfast & Brunch",3.5,437,1606 Bellevue Way SE,Bellevue,WA,98004
102,fz7yoynqQPX_VCDod-jUTg,(253) 852-3550,kent-bowl-kent,Kent Bowl,Bowling,3.0,17,1234 Central Ave N,Kent,WA,98032
103,EPjQw4KnqzuWdWalciRLsQ,(206) 545-7810,teriyaki-madness-seattle,Teriyaki Madness,"Japanese, Korean",3.5,51,2320 N 45th St,Seattle,WA,98103
104,q62uVSb7g9bCK7t87Up4aQ,(206) 682-9422,treasures-gifts-and-snacks-seattle-2,Treasures Gifts & Snacks,Gift Shops,3.0,2,700 5th Ave,Seattle,WA,98104
105,JCgvJyyYac5nJ1s-R3ZEBA,(206) 729-5071,memos-mexican-food-restaurant-seattle,Memo's Mexican Food Restaurant,Mexican,3.0,295,4743 University Way NE,Seattle,WA,98105
106,zDAcRBwZh042BI_uipy2pg,(206) 575-8575,happy-teriyaki-tukwila-2,Happy Teriyaki,Asian Fusion,3.5,37,17165 Southcenter Pkwy,Tukwila,WA,98188
107,Fx4fD16XH7swkqK6rqteSA,(206) 365-5167,wendys-seattle-5,Wendy's,"Burgers, Fast Food",2.0,63,11744 Lake City Way NE,Seattle,WA,98125
108,9oSPptrrQE1ROoBoF5yZfw,(801) 441-5000,cafe-rio-spokane,Cafe Rio,"Mexican, Cafes",3.0,36,4911 S Regal St,Spokane,WA,99223
109,jBueRMd9Nt6wnhaE9Ng5EQ,(425) 273-1511,delicately-sweet-confections-seattle-2,Delicately Sweet Confections,"Desserts, Bakeries, Cupcakes",5.0,20,,Seattle,WA,98133
110,PzPcYl6pJOLoo9m8c-GaiA,(206) 824-0249,auntie-irenes-coffee-shop-des-moines,Auntie Irene's Coffee Shop,"Ice Cream & Frozen Yogurt, Coffee & Tea, Sandwiches",4.5,144,22504 Marine View Dr S,Des Moines,WA,98198
111,2kFXl0P3Fvj6pVaDDo5z7Q,(206) 261-4240,nest-school-lunch-program-seattle,NEST School Lunch Program,Food Delivery Services,5.0,1,970 21st Ave,Seattle,WA,98122
112,SN2wJZojnmfra9oC0kGbjg,(206) 979-5902,cocina-buena-food-truck-seattle,Cocina Buena -  Food Truck,"Salad, Barbeque, Food Trucks",2.5,6,,Seattle,WA,
113,oNXOpgBI6guPaehjzaLRPw,(206) 547-0335,mighty-o-donuts-seattle,Mighty-O Donuts,"Donuts, Vegan, Bakeries",4.5,712,2110 N 55th St,Seattle,WA,98103
114,gt53N3CuuC-h67-ObR0EIA,(206) 661-6733,guardian-cellars-woodinville,Guardian Cellars,Wineries,4.5,19,19501 144th Ave NE,Woodinville,WA,98072
115,hvcKNHOg6lKz7l58D4r-OA,(425) 454-2293,taco-time-bellevue,Taco Time,Mexican,3.0,54,201 106th Ave. NE,Bellevue,WA,98004
116,ut9jRCYjWpnRORUAFuA8YA,(425) 292-9321,rio-bravito-snoqualmie,Rio Bravito,Mexican,4.5,8,7802 Center Blvd SE,Snoqualmie,WA,98065
117,oQBBWPdsON0d9y1PQEMTUg,(253) 630-2234,papa-murphys-covington,Papa Murphy's,Pizza,2.5,10,16783 South East 272nd Street,Covington,WA,98042
118,IYMkwVoPBET8ROPodR7uEg,(425) 242-7979,triplehorn-brewing-co-woodinville,Triplehorn Brewing Co.,Breweries,4.5,139,19510 144th Ave NE,Woodinville,WA,98072
119,pNkHfhzrhED-2MU5D8Olzw,(206) 322-9399,rancho-bravo-tacos-seattle-2,Rancho Bravo Tacos,"Mexican, Sandwiches",3.5,764,1001 E Pine St,Seattle,WA,98122
120,ioYq5dlzhZffri-BYWDsNQ,(206) 557-7357,vif-wine-coffee-seattle,Vif Wine|Coffee,"Cafes, Coffee & Tea, Beer, Wine & Spirits",4.0,125,4401 Fremont Ave N,Seattle,WA,98103
121,4_JFktDeTgrcuVYxPw2uZQ,(206) 441-4348,thai-on-1-seattle,Thai On 1,Thai,3.5,99,2904 1st Ave,Seattle,WA,98121
122,dsyOwRO8RY5a60djh_KeFg,(425) 985-6902,supreme-bean-again-burien,Supreme Bean Again,Coffee & Tea,4.5,8,14424 Ambaum Blvd SW,Burien,WA,98166
123,XReW-UZJ-kTimtVRzP6HJQ,(206) 634-2307,college-inn-pub-seattle,College Inn Pub,Pubs,4.0,145,4006 University Way NE,Seattle,WA,98105
124,aoVmInUeECd-B1Nd3XubuA,(206) 284-6600,morrisons-north-star-marine-fuel-dock-seattle,Morrison's North Star Marine Fuel Dock,Fuel Docks,4.5,2,2732 Westlake Ave N,Seattle,WA,98109
125,AjW5n5So6QAJxCf9KfaLxA,(425) 822-8970,toshis-teriyaki-kirkland,Toshi's Teriyaki,Japanese,4.5,58,957 6th St S,Kirkland,WA,98033
126,1IhsJZTc81CBhX9pG69r1w,(206) 772-9982,skyway-vfw-post-seattle,Skyway VFW Post,Veterans Organizations,4.5,2,7421 S 126th St,Seattle,WA,98178
127,YE2Pcs9Of1zZotYtWdKeBA,(253) 395-9226,centerpoint-corporate-park-kent,CenterPoint Corporate Park,"Commercial Real Estate, Property Management, Venues & Event Spaces",3.0,4,20819 72nd Ave S,Kent,WA,98032
128,wQJe5_eGYzymqjG6S_THeg,(206) 932-5350,a-pizza-mart-seattle-7,A Pizza Mart,"Italian, Pizza",3.5,35,9452 35th Ave SW,Seattle,WA,98126
129,xEt-XQv9SHXCr8v6C0vKKw,(206) 329-1688,hau-hau-market-seattle,Hau Hau Market,International Grocery,3.5,54,412 12th Ave S,Seattle,WA,98144
130,a35twhNzgqcqr1GSK7RRyA,(206) 878-3700,b-and-e-meats-and-seafood-des-moines,B & E Meats & Seafood,"Seafood Markets, Meat Shops, Butcher",5.0,81,22501 Marine View Dr S,Des Moines,WA,98198
131,7A_J6UsuJYL0Jnee91W7Ow,(425) 214-2393,roll-ok-please-south-east-bellevue,Roll OK Please,"Food Trucks, Indian",4.0,71,,South East Bellevue,WA,98004
132,mGIEhnIB2gE2r6a_nUTEuA,(206) 709-4440,caffe-vita-capitol-hill-seattle,Caffe Vita Capitol Hill,Coffee & Tea,3.5,363,1005 E Pike St,Seattle,WA,98122
133,WCmNsCcb66gKnkQUCMUsZg,(206) 281-8700,starbucks-seattle-332,Starbucks,Coffee & Tea,4.0,2,1600 E Jefferson St,Seattle,WA,98108
134,cw5hXVMro5cdCBXtB0S4rQ,(360) 825-5669,new-york-catering-enumclaw,New York Catering,"Caterers, Bartenders",5.0,9,1626 Railroad St,Enumclaw,WA,98022
135,LOz2p-7Web5dKOaeIwdZWA,(206) 860-2171,arco-seattle,ARCO,Gas Stations,1.5,8,665 23rd Ave,Seattle,WA,98122
136,m-v5hYRcf4-y80kQOr_41w,(206) 962-5123,pokéworks-seattle,Pokéworks,"Poke, Seafood, Hawaiian",4.0,268,1200 Third Ave,Seattle,WA,98101
137,Zn3u5r5aarfuqYPOqkgipw,(206) 898-5803,loxicha-authentic-oaxaca-cuisine-seattle,Loxicha Authentic Oaxaca Cuisine,"Food Trucks, Mexican",5.0,56,11552 15th Ave NE,Seattle,WA,98125
138,jhRC30yoKO6JCfJ7l-49EA,(206) 829-8933,jdumpling-house-seattle-3,J'Dumpling House,Chinese,3.5,57,7347 35th Ave NE,Seattle,WA,98115
139,fXjLgdq2zGILXumDsijHCw,(206) 441-9842,marjorie-seattle-2,Marjorie,American (New),3.5,257,1412 E Union St,Seattle,WA,98122
140,nu6r6QrYygnF-YKJ42aFHQ,(253) 952-2302,talltimbers-bar-and-grill-federal-way,Talltimbers Bar and Grill,"Bars, American (Traditional)",3.0,1,35509 21st Ave SW,Federal Way,WA,98023
